SPDX Full name of License,SPDX License Identifier,Fedora Short Name,Fedora Fullname (if different),Notes,Other Fedora Licenses (full name) that use same short identifier and are SPDX License List equivalent (as per SPDX Matching Guidelines)
3dfx Glide License,Glide,Glide,,,
Abstyles License,Abstyles,Abstyles,,,
Academic Free License v1.1,AFL-1.1,,,not on Fedora list,
Academic Free License v1.2,AFL-1.2,,,not on Fedora list,
Academic Free License v2.0,AFL-2.0,,,not on Fedora list,
Academic Free License v2.1,AFL-2.1,,,not on Fedora list,
Academic Free License v3.0,AFL-3.0,AFL,Academic Free License,,
Academy of Motion Picture Arts and Sciences BSD,AMPAS,AMPAS BSD,,,
Adaptive Public License 1.0,APL-1.0,,,Fedora bad list,
Adobe Glyph List License,Adobe-Glyph,MIT,,,
Adobe Postscript AFM License,APAFML,APAFML,,,
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,Adobe,,,
Affero General Public License v1.0,AGPL-1.0,AGPLv1,,,
Afmparse License,Afmparse,Afmparse,,,
Aladdin Free Public License,Aladdin,,,not on Fedora list,
Amazon Digital Services License,ADSL,ADSL,,,
AMD's plpa_map.c License,AMDPLPA,AMDPLPA,,,
ANTLR Software Rights Notice,ANTLR-PD,,,not on Fedora list,
Apache License 1.0,Apache-1.0,ASL 1.0,Apache Software License 1.0,,
Apache License 1.1,Apache-1.1,ASL 1.1,Apache Software License 1.1,,"4Suite Copyright License
MX4J License
Neotonic Clearsilver License
Phorum License
Sequence Library License
QuickFix License"
Apache License 2.0,Apache-2.0,ASL 2.0,Apache Software License 2.0,,
Apple MIT License,AML,AML,,,
Apple Public Source License 1.0,APSL-1.0,,,Fedora bad list,
Apple Public Source License 1.1,APSL-1.1,,,Fedora bad list,
Apple Public Source License 1.2,APSL-1.2,,,Fedora bad list,
Apple Public Source License 2.0,APSL-2.0,APSL 2.0,,,
Artistic License 1.0,Artistic-1.0,,,not on Fedora list,
Artistic License 1.0 (Perl),Artistic-1.0-Perl,,,Fedora bad list,
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,,,not on Fedora list,
Artistic License 2.0,Artistic-2.0,Artistic 2.0,Artistic 2.0,,
Attribution Assurance License,AAL,AAL,,,
Bahyph License,Bahyph,Bahyph,,,
Barr License,Barr,Barr,,,
Beerware License,Beerware,Beerware,,,
